question,answer_framework1,matched_question_gold,gold_standard_answer,question_similarity,answer_similarity,bertscore_precision,bertscore_recall,bertscore_f1
Is it true that HIV-positive people are always at fault for their condition?,"No, it is not true that HIV-positive people are always at fault for their condition. HIV can affect anyone, regardless of gender, race, age, or sexual orientation. It is transmitted through various means such as unprotected sex, sharing needles, or from mother to child during childbirth. Blaming individuals for their HIV status perpetuates stigma and discrimination. It is crucial to focus on prevention, education, and support for those affected by HIV.",Is it only homosexual people that can get HIV?,"Anyone can get HIV. HIV knows no boundaries, gender, race, age, position, association, country or sexual orientation. Everyone is at risk of being infected with HIV.  There are some behaviours and practices that increase individual risk of HIV infection: 1) having multiple sexual partners whose HIV status is unknown 2) engaging in unprotected sex  and 3) sharing skin-piercing or drug injectable equipment.",0.6912339925765991,0.6603045463562012,0.6655768156051636,0.6934608817100525,0.6792328357696533
Are HIV patients a burden on the healthcare system due to their frequent visits?,"HIV patients require regular medical care to manage their condition effectively, which may involve more frequent healthcare visits. These visits are essential for monitoring health and adjusting treatment as needed, ensuring patients can lead long and healthy lives. It is crucial to view HIV patients as individuals deserving of quality healthcare, rather than as a burden on the system. With proper treatment, many HIV patients can maintain a high quality of life and contribute positively to society.",Can someone with HIV live a quality life?,"With proper care, i.e. taking the medication daily, many people with HIV can maintain a high quality of life, but challenges like stigma can impact well-being or quality of life. At this time, you must learn how to build a strong self-esteem, be happy with yourself and do things that will make you happy.",0.610162615776062,0.6938906311988831,0.6450393199920654,0.6740646958351135,0.6592327356338501
Do individuals with HIV intentionally avoid using protection to infect others?,"While some individuals with HIV may engage in risky behavior, it is not accurate to say that they intentionally avoid using protection to infect others. Most people living with HIV understand the importance of safer sex practices to prevent transmission. Open communication about HIV status and using protection are crucial to prevent the spread of the virus. Intentionally trying to infect others is considered a criminal act in many places.",Can HIV infect someone by being around people who are infected?,"H cannot be acquired by any casual contacts such as hugging, shaking hands, sharing same toilets, wearing same clothes with persons living with HIV. It is transmitted through contact with infected blood, semen, vaginal fluids, rectal fluids, or breast milk.",0.6900671720504761,0.4764437079429626,0.5360779762268066,0.543103039264679,0.5395677089691162
Are people with HIV unable to adopt children due to their health status?,"No, having HIV does not automatically disqualify someone from adopting a child. Many countries and adoption agencies have policies that allow individuals with HIV to adopt, as long as they can provide a safe and stable environment for the child. It's important to check the specific adoption laws and regulations in your country or region to understand the requirements and process for individuals with HIV who wish to adopt.",Can men living with HIV father HIV-negative children?,,0.7913351058959961,-0.1119332909584045,0.0,0.0,0.0
Do individuals with HIV avoid public spaces to prevent judgment?,"Some individuals with HIV may avoid public spaces due to fear of judgment or discrimination, as stigma and disclosure issues can lead to social withdrawal. People living with HIV/AIDS often face discrimination, loss of social status, and changes in relationships, which can contribute to their reluctance to engage in public life. However, it is crucial to promote education and awareness to combat misconceptions about HIV and foster inclusive environments. Those experiencing discrimination can seek support from organizations or healthcare providers specializing in HIV care.",How can HIV affect a person socially?,"Stigma and disclosure issues can affect social interactions, and lead to social withdrawal.
1.  People living with HIV/AIDS (PLWHA) may encounter numerous problems such as discrimination, losing social status and role, changes in the pattern of relationships, and losing jobs and financial resources.
2. In a relationship, the diagnosis of HIV may reveal aspects of a person's behaviour that they may have wanted to keep private. This may include infidelity or sexuality, homosexuality, and intravenous drug use, which might result in feelings of guilt, and blame and lead to relationship breakdown.
3. People with HIV have a chance of developing mood, anxiety, and cognitive disorders.it is very important to know that mental disorder is treatable.",0.6311813592910767,0.7879160046577454,0.7188540101051331,0.6947270631790161,0.7065845727920532
Is it true that people with HIV are unreliable in long-term commitments?,"No, it is not true that people with HIV are unreliable in long-term commitments. People living with HIV can have healthy and fulfilling relationships just like anyone else. With proper treatment and care, individuals with HIV can lead normal lives and maintain long-term commitments. It is important to challenge stigma and misconceptions surrounding HIV to support those living with the virus.",Can someone with HIV live a quality life?,"With proper care, i.e. taking the medication daily, many people with HIV can maintain a high quality of life, but challenges like stigma can impact well-being or quality of life. At this time, you must learn how to build a strong self-esteem, be happy with yourself and do things that will make you happy.",0.6791386008262634,0.6740230321884155,0.6425561904907227,0.6578241586685181,0.6501005291938782
Are those on ARV therapy more likely to engage in risky behavior?,"People on antiretroviral therapy (ARV) are not necessarily more likely to engage in risky behavior. ARV therapy helps manage HIV and reduce the risk of transmission to others. However, some individuals may still engage in risky behaviors regardless of being on ARV therapy. It's important for individuals on ARV therapy to continue practicing safe behaviors to protect themselves and others from HIV and other sexually transmitted infections.",Are there any potential psychological effects associated with ARV treatment?,"Some ARV drugs may cause symptoms of depression, anxiety, sleeplessness and  worsen some mental conditions. 

It is important for individuals with H (using ARVs) to talk with their healthcare provider about their mental health before starting ART.

In the days, weeks, months, and years after you learn that you are positive with H, you may experience some kind of emotional issues which include anger, shock, sadness, denial and you can also be struggling with depression.

These usually have some bad effects.
Joining a support group early is necessary to control the effects.",0.7696718573570251,0.5311540365219116,0.625983715057373,0.6117647290229797,0.6187925338745117
Do individuals with HIV always rely on government support for treatment?,"No, individuals with HIV do not always rely on government support for treatment. Many have private health insurance or access treatment through their employer. Additionally, non-profit organizations and programs can assist with medication costs for those without insurance coverage. It's important for individuals with HIV to explore all available options for accessing treatment and support.",Can someone with HIV live a quality life?,"With proper care, i.e. taking the medication daily, many people with HIV can maintain a high quality of life, but challenges like stigma can impact well-being or quality of life. At this time, you must learn how to build a strong self-esteem, be happy with yourself and do things that will make you happy.",0.5933400988578796,0.5305459499359131,0.6241482496261597,0.63372802734375,0.6289016604423523
Are people with HIV more likely to spread the virus through reckless behavior?,"People with HIV who are not on effective treatment may be more likely to transmit the virus through behaviors such as unprotected sex or sharing needles. However, with proper treatment and maintaining an undetectable viral load, the risk of transmission is greatly reduced. It is crucial for individuals with HIV to adhere to safe practices to prevent spreading the virus to others.",Can someone be infected with HIV by being around people who have the disease?,"H cannot be acquired by any casual contacts such as hugging, shaking hands, sharing same toilets, wearing same clothes with persons living with HIV. It is transmitted through contact with infected blood, semen, vaginal fluids, rectal fluids, or breast milk.",0.7135924696922302,0.5755206346511841,0.5497952103614807,0.6129430532455444,0.579654335975647
Is it true that HIV-positive individuals lack basic health education?,"It is not true that all HIV-positive individuals lack basic health education. However, barriers such as stigma, discrimination, and lack of resources can hinder access to accurate health information for some individuals. Providing comprehensive health education and support is crucial to empower those living with HIV to make informed health decisions.","Can doctors, nurses, children get HIV?","Anyone can get HIV. HIV knows no boundaries, gender, race, age, position, association, country or sexual orientation. Everyone is at risk of being infected with HIV.  There are some behaviours and practices that increase individual risk of HIV infection: 1) having multiple sexual partners whose HIV status is unknown 2) engaging in unprotected sex  and 3) sharing skin-piercing or drug injectable equipment.",0.6083476543426514,0.4522683024406433,0.5967483520507812,0.5918236970901489,0.5942758321762085
Do people on ARVs live shorter lives despite the treatment?,"No, people on antiretroviral therapy (ARVs) can live long, healthy lives with HIV. ARVs are highly effective in controlling the virus and preventing the progression to AIDS. With proper treatment and care, many people with HIV can have a normal life expectancy. It's important to adhere to the treatment regimen and follow up with healthcare providers regularly for the best outcomes.",Are there any potential psychological effects associated with ARV treatment?,"Some ARV drugs may cause symptoms of depression, anxiety, sleeplessness and  worsen some mental conditions. 

It is important for individuals with H (using ARVs) to talk with their healthcare provider about their mental health before starting ART.

In the days, weeks, months, and years after you learn that you are positive with H, you may experience some kind of emotional issues which include anger, shock, sadness, denial and you can also be struggling with depression.

These usually have some bad effects.
Joining a support group early is necessary to control the effects.",0.701412558555603,0.4641605615615845,0.6132186651229858,0.5973696112632751,0.6051903963088989
Are individuals with HIV always part of high-risk groups?,"No, individuals with HIV are not always part of high-risk groups. While certain behaviors, such as having multiple sexual partners, engaging in unprotected sex, and sharing needles, increase the risk of HIV infection, anyone can acquire the virus. HIV does not discriminate based on gender, race, age, or sexual orientation, making it important for everyone to practice safe behaviors to prevent transmission.",Is it only homosexual people that can get HIV?,"Anyone can get HIV. HIV knows no boundaries, gender, race, age, position, association, country or sexual orientation. Everyone is at risk of being infected with HIV.  There are some behaviours and practices that increase individual risk of HIV infection: 1) having multiple sexual partners whose HIV status is unknown 2) engaging in unprotected sex  and 3) sharing skin-piercing or drug injectable equipment.",0.6831371784210205,0.7947496175765991,0.7374371290206909,0.7388805747032166,0.7381581664085388
